release_date,genre_ids,id,title,popularity,vote_count,vote_average
7/28/2012,14.0,309810,Naruto Shippuden the Movie: Road to Ninja,1.746046,56,7.4
6/8/2001,12.0,11918,Jett Jackson: The Movie,1.042141,3,4.2
5/11/2016,99.0,137106,Brexit: The Movie,1.042062,3,6.3
2/28/2015,99.0,4257,The Woods Movie,1.039931,0,0.0
2/13/2000,18.0,22797,Homicide: The Movie,1.039548,4,3.9
10/5/2017,12.0,35,My Little Pony: The Movie,1.305122,0,0.0
1/29/2013,35.0,226,Classic Movie Bloopers: Uncensored,1.037346,1,7.5
10/15/2015,35.0,2631,Dumb Criminals: The Movie,1.033651,4,5.0
1/1/2016,99.0,10073,That Vitamin Movie,1.033643,0,0.0
1/17/1986,35.0,416252,Heathcliff: The Movie,1.031275,1,7.0
9/12/2009,28.0,85420,Wangan Midnight: The Movie,1.029766,5,6.2
3/12/2015,27.0,13805,Violent Shit: the Movie,1.028281,3,3.7
11/30/2016,35.0,4258,Uno: The Movie,1.027978,5,9.2
3/8/2014,35.0,2355,Eternity: The Movie,1.027294,5,2.1
1/1/2010,28.0,4247,Ghetto Stories: The Movie,1.026883,0,0.0
4/18/2013,16.0,87818,Cheech & Chong's Animated Movie,1.28959,8,4.3
12/7/2016,28.0,5559,Shenmue II The Movie,1.025375,0,0.0
1/1/2000,35.0,153518,Redwall The Movie,1.025014,1,7.0
11/29/2012,35.0,324849,Sepah The Movie,1.024857,0,0.0
7/15/2001,35.0,309810,Sex Court: The Movie,1.023214,0,0.0
6/6/2013,18.0,11918,Coboy Junior: The Movie,1.02297,0,0.0
11/7/2015,53.0,137106,Mozu The Movie,1.243824,0,0.0
5/25/2002,28.0,4257,Gerak Khas The Movie II,1.285077,0,0.0
11/24/2016,35.0,22797,Lulu the Movie,1.021157,1,6.0
12/7/2001,16.0,35,Christmas Carol: The Movie,1.020895,15,4.6
8/3/1990,12.0,226,DuckTales: The Movie - Treasure of the Lost Lamp,1.910806,142,6.6
11/4/2000,10751.0,10073,The Growing Pains Movie,1.020188,2,4.5
10/21/2016,878.0,416252,Horror Hotel the Movie,1.020168,2,6.0
3/3/2016,28.0,11836,BoBoiBoy: The Movie,1.020088,0,0.0
3/20/2013,16.0,85420,Bola Kampung: The Movie,1.019953,0,0.0
8/9/2009,27.0,13805,Zombie Girl: The Movie,1.019693,7,6.1
11/8/2016,99.0,4258,MOTO 8: The Movie,1.018803,0,0.0
5/29/2015,35.0,2355,Bigfoot The Movie,1.018257,2,0.0
6/4/2013,18.0,87818,Coboy Junior The Movie,1.016991,0,0.0
3/8/2014,99.0,153518,Sex(ed): The Movie,1.016234,0,0.0
8/6/1982,28.0,324849,The Pirate Movie,1.0155,4,5.6
11/13/2017,12.0,309810,Carmilla: The Movie,1.015219,0,0.0
3/29/1995,80.0,11918,Redeem Her Honor,1.014832,0,0.0
10/1/2010,35.0,137106,Khichdi: The Movie,1.0147,3,2.7
9/18/2012,99.0,4257,Pizza! The Movie,1.014137,0,0.0
10/20/2009,18.0,35,Grown Up Movie Star,1.013665,7,5.5
6/1/2014,12.0,226,The Movie Quest,1.013608,0,0.0
9/23/2016,35.0,2631,Total Frat Movie,1.013306,2,5.0
9/20/2009,27.0,10073,Momok The Movie,1.011727,0,0.0
8/19/2005,16.0,416252,The Proud Family Movie,1.011028,10,4.2
10/29/2015,53.0,11836,Fifteen: Periscope Movie,1.010863,0,0.0
5/5/2011,16.0,85420,Little Johnny The Movie,1.010592,5,5.3
4/3/2013,18.0,13805,Crimi Clowns: De Movie,1.010475,4,6.0
4/1/2016,27.0,4258,Bad Blood: The Movie,1.010217,1,4.0
7/15/2015,35.0,2355,Eminem VEVO: The Movie,1.009849,0,0.0
4/4/2008,18.0,87818,Degrassi Spring Break Movie,1.009778,1,8.0
5/22/2015,10751.0,5559,Friday Download: The Movie,1.009428,3,5.0
3/3/2004,35.0,153518,See This Movie,1.009153,0,0.0
5/24/2016,99.0,324849,Hummus! the Movie,1.009117,1,10.0
7/24/2014,35.0,11918,Bajaj Bajuri: The Movie,1.008139,1,6.0
3/31/2006,28.0,137106,The Dudesons Movie,1.008126,7,4.2
1/23/2016,35.0,4257,Pure Pwnage: Teh Movie,1.007923,4,8.0
11/11/2015,99.0,35,Tose: The Movie,1.007419,0,0.0
1/1/2003,99.0,226,Gumball 3000: The Movie,1.007398,0,0.0
10/3/2015,18.0,2631,YOLO: The Movie,1.00678,1,8.0
5/14/1988,9648.0,10073,Midnight Movie Massacre,1.00675,2,5.5
5/21/1999,16.0,416252,Pokémon: The Movie 2000,1.006747,3,5.3
8/10/2015,99.0,11836,No Home Movie,1.006571,5,8.4
3/4/1997,35.0,13805,Toxic Crusaders: The Movie,1.006197,1,2.0
4/1/2010,10751.0,4258,Church: The Movie,1.006132,0,0.0
11/30/2012,35.0,2355,The Movie Out Here,1.005762,1,2.0
3/31/2014,27.0,4247,Precocious Movie Kids,1.005519,0,0.0
3/8/2014,16.0,87818,Doraemon the Movie: Nobita in the New Haunts of Evil -Peko and the Five Explorers-,1.005519,2,9.5
9/19/2012,16.0,5559,Greeny Phatom The Movie,1.005445,0,0.0
8/29/2014,35.0,153518,Swearnet: The Movie,1.005433,10,5.2
3/4/2006,35.0,324849,The American Poop Movie,1.00539,3,3.7
10/28/2015,99.0,309810,Moto 7: The Movie,1.005359,1,6.5
